Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note2,Amount,Currency,Account2
03/25/2022 15:31,CUB - online payment,Food,Parotta,,153.67,Expense,,153.67,INR,
03/21/2022 13:48,CUB - online payment,Other,To siva,with company,123.9,Expense,,123.9,INR,
03/22/2022 13:10,CUB - online payment,Food,Parotta,,466.62,Expense,,466.62,INR,
03/30/2022 12:54,CUB - online payment,Food,Parotta,,360.81,Expense,,360.81,INR,
03/28/2022 17:49,CUB - online payment,Transportation,Rapido,with company,386.76,Expense,,386.76,INR,
03/16/2022 18:00,CUB - online payment,Food,Parotta,with bharath,164.89,Expense,,164.89,INR,
03/01/2022 21:56,CUB - online payment,Food,Milk with bharath,with stu,31.28,Expense,,31.28,INR,
03/10/2022 19:50,CUB - online payment,Food,Breakfast,with company,502.61,Expense,,502.61,INR,
03/14/2022 18:47,CUB - online payment,Food,Pizza,with bharath,273.72,Expense,,273.72,INR,
03/09/2022 14:12,CUB - online payment,Food,Pizza,with stu,48.33,Expense,,48.33,INR,
03/30/2022 09:21,CUB - online payment,Food,Dinner,,578.49,Expense,,578.49,INR,
03/29/2022 18:28,CUB - online payment,Gift,Gift,with bharath,279.67,Expense,,279.67,INR,
03/12/2022 08:20,CUB - online payment,Food,Dinner,,98.38,Expense,,98.38,INR,
03/04/2022 15:34,CUB - online payment,Social Life,Movie,with company,1702.95,Expense,,1702.95,INR,
03/16/2022 19:36,CUB - online payment,Food,Lunch,with bharath,26.92,Expense,,26.92,INR,
03/05/2022 08:57,CUB - online payment,Food,Milk with bharath,,25.49,Expense,,25.49,INR,
03/06/2022 21:28,CUB - online payment,Food,Breakfast,,71.26,Expense,,71.26,INR,
03/20/2022 08:17,CUB - online payment,Transportation,Rapido,,1513.02,Expense,,1513.02,INR,
03/10/2022 12:24,CUB - online payment,Household,Rent,with stu,4824.76,Expense,,4824.76,INR,
03/12/2022 11:48,CUB - online payment,Transportation,Auto,,45.56,Expense,,45.56,INR,
03/15/2022 08:30,CUB - online payment,Food,Parotta,with bharath,87.36,Expense,,87.36,INR,
03/23/2022 12:12,CUB - online payment,Food,Kfc dinner,,392.36,Expense,,392.36,INR,
03/08/2022 13:40,CUB - online payment,Food,Pizza,,78.49,Expense,,78.49,INR,
03/30/2022 20:01,CUB - online payment,Transportation,Rapido,,197.21,Expense,,197.21,INR,
03/30/2022 12:35,CUB - online payment,Food,Water,,114.67,Expense,,114.67,INR,
03/01/2022 22:35,CUB - online payment,Food,Breakfast,with company,528.38,Expense,,528.38,INR,
03/26/2022 22:18,CUB - online payment,Food,Pizza,,23.77,Expense,,23.77,INR,
03/11/2022 10:01,CUB - online payment,Other,To kumara,,259.85,Expense,,259.85,INR,
03/23/2022 13:17,CUB - online payment,Food,Pizza,,635.11,Expense,,635.11,INR,
03/01/2022 17:48,CUB - online payment,Household,Stuffs,with stu,253.04,Expense,,253.04,INR,
03/04/2022 17:47,CUB - online payment,Food,Corn,with company,42.34,Expense,,42.34,INR,
03/28/2022 15:53,CUB - online payment,Food,Pizza,with company,91.3,Expense,,91.3,INR,
03/02/2022 21:09,CUB - online payment,Food,Dinner,,14.18,Expense,,14.18,INR,
03/16/2022 21:31,CUB - online payment,Food,Milk with bharath,,57.54,Expense,,57.54,INR,
03/17/2022 10:50,CUB - online payment,Social Life,Badminton,with stu,1661.21,Expense,,1661.21,INR,
03/23/2022 22:07,CUB - online payment,Household,Stuffs,with company,325.2,Expense,,325.2,INR,
03/11/2022 09:58,CUB - online payment,Food,Milk with bharath,with stu,231.06,Expense,,231.06,INR,
03/18/2022 08:23,CUB - online payment,Food,Corn,with company,307.39,Expense,,307.39,INR,
03/03/2022 18:06,CUB - online payment,Food,Milk with bharath,with company,291.0,Expense,,291.0,INR,
03/26/2022 08:51,CUB - online payment,Food,Breakfast,,410.84,Expense,,410.84,INR,
03/16/2022 12:40,CUB - online payment,Other,To barath,with gobi,448.9,Expense,,448.9,INR,
03/27/2022 21:11,CUB - online payment,Social Life,Movie,with bharath,661.45,Expense,,661.45,INR,
03/11/2022 14:32,CUB - online payment,Food,Breakfast,,212.55,Expense,,212.55,INR,
03/22/2022 22:15,CUB - online payment,Transportation,Metro,,1246.36,Expense,,1246.36,INR,
03/17/2022 09:14,CUB - online payment,Food,Parotta,with bharath,638.97,Expense,,638.97,INR,
03/19/2022 11:43,CUB - online payment,Social Life,Badminton,,218.09,Expense,,218.09,INR,
03/19/2022 20:16,CUB - online payment,Transportation,Taxi,with gobi,67.66,Expense,,67.66,INR,
03/08/2022 13:04,CUB - online payment,Food,Corn,,232.09,Expense,,232.09,INR,
03/11/2022 20:16,CUB - online payment,Transportation,Rapido,,936.51,Expense,,936.51,INR,
03/30/2022 20:19,CUB - online payment,Food,Pizza,with gobi,264.71,Expense,,264.71,INR,
03/22/2022 12:55,CUB - online payment,Other,From dad,with gobi,500,Income,,500,INR,
03/20/2022 22:11,CUB - online payment,Food,Parotta,with company,72.08,Expense,,72.08,INR,
03/05/2022 22:18,CUB - online payment,Food,Milk with bharath,with company,376.5,Expense,,376.5,INR,
03/30/2022 15:58,CUB - online payment,Food,Pizza,,605.72,Expense,,605.72,INR,
03/16/2022 22:10,CUB - online payment,Food,Snacks,with stu,530.8,Expense,,530.8,INR,
03/21/2022 19:11,CUB - online payment,Transportation,Metro,,288.44,Expense,,288.44,INR,
03/29/2022 21:25,CUB - online payment,Food,Lunch,,484.39,Expense,,484.39,INR,
03/09/2022 10:43,CUB - online payment,Food,Parotta,with stu,229.28,Expense,,229.28,INR,
03/27/2022 09:20,CUB - online payment,Food,Parotta,,81.62,Expense,,81.62,INR,
03/14/2022 09:39,CUB - online payment,Other,To gobi,,91.41,Expense,,91.41,INR,
03/30/2022 08:09,CUB - online payment,Apparel,Full hand and hoodie,,1641.86,Expense,,1641.86,INR,
03/05/2022 10:10,CUB - online payment,Food,Corn,,119.21,Expense,,119.21,INR,
03/09/2022 09:45,CUB - online payment,Food,Milk with bharath,with stu,57.75,Expense,,57.75,INR,
03/31/2022 21:43,CUB - online payment,Food,Dinner,,695.58,Expense,,695.58,INR,
03/25/2022 11:42,CUB - online payment,Transportation,Metro,,1310.47,Expense,,1310.47,INR,
03/14/2022 17:13,CUB - online payment,Food,Water,with gobi,25.95,Expense,,25.95,INR,
03/04/2022 17:30,CUB - online payment,Social Life,Games,with bharath,1639.36,Expense,,1639.36,INR,
03/01/2022 18:21,CUB - online payment,Transportation,Bus ticket,,466.35,Expense,,466.35,INR,
03/23/2022 20:23,CUB - online payment,Food,Milk with bharath,with bharath,476.42,Expense,,476.42,INR,
03/29/2022 18:30,CUB - online payment,Other,To vicky,with bharath,78.23,Expense,,78.23,INR,
03/25/2022 11:21,CUB - online payment,Food,Breakfast,with company,238.45,Expense,,238.45,INR,
03/27/2022 15:04,CUB - online payment,Social Life,Badminton,,1476.23,Expense,,1476.23,INR,
03/05/2022 13:54,CUB - online payment,Food,Kfc dinner,with bharath,545.12,Expense,,545.12,INR,
03/03/2022 20:04,CUB - online payment,Food,Breakfast,,127.06,Expense,,127.06,INR,
03/04/2022 13:37,CUB - online payment,Household,Rent,,4683.37,Expense,,4683.37,INR,
03/31/2022 13:43,CUB - online payment,Food,Corn,with gobi,288.41,Expense,,288.41,INR,
03/26/2022 20:13,CUB - online payment,Food,Snacks,,212.21,Expense,,212.21,INR,
03/04/2022 20:55,CUB - online payment,Food,Water,,123.91,Expense,,123.91,INR,
03/02/2022 21:33,CUB - online payment,Food,Breakfast,,86.53,Expense,,86.53,INR,
03/16/2022 10:49,CUB - online payment,Food,Corn,with company,679.77,Expense,,679.77,INR,
03/14/2022 22:09,CUB - online payment,Other,To gobi,,349.99,Expense,,349.99,INR,
03/11/2022 10:47,CUB - online payment,Food,Pizza,with bharath,600.83,Expense,,600.83,INR,
03/26/2022 21:35,CUB - online payment,Other,From dad,with stu,2000,Income,,2000,INR,
03/08/2022 11:27,CUB - online payment,Food,Corn,with bharath,227.28,Expense,,227.28,INR,
03/18/2022 08:05,CUB - online payment,Transportation,Metro,with gobi,119.69,Expense,,119.69,INR,
03/07/2022 12:36,CUB - online payment,Transportation,Train,,371.77,Expense,,371.77,INR,
03/23/2022 17:25,CUB - online payment,Other,To siva,with company,220.0,Expense,,220.0,INR,
03/07/2022 12:10,CUB - online payment,Other,To vicky,with gobi,256.88,Expense,,256.88,INR,
03/11/2022 20:31,CUB - online payment,Food,Kfc dinner,,199.01,Expense,,199.01,INR,
03/25/2022 22:18,CUB - online payment,Food,Breakfast,,19.17,Expense,,19.17,INR,
03/26/2022 15:44,CUB - online payment,Food,Kfc dinner,with stu,126.36,Expense,,126.36,INR,
03/05/2022 12:31,CUB - online payment,Food,Parotta,,18.66,Expense,,18.66,INR,
03/11/2022 17:28,CUB - online payment,Food,Water,,38.21,Expense,,38.21,INR,
03/01/2022 10:00,CUB - salary,Other,Salary,Monthly salary,30000.0,Income,,30000.0,INR,
04/15/2022 11:54,CUB - online payment,Food,Snacks,with gobi,286.8,Expense,,286.8,INR,
04/30/2022 19:29,CUB - online payment,Food,Pizza,with gobi,446.58,Expense,,446.58,INR,
04/13/2022 08:27,CUB - online payment,Food,Parotta,with stu,89.2,Expense,,89.2,INR,
04/02/2022 08:43,CUB - online payment,Food,Water,with company,20.6,Expense,,20.6,INR,
04/02/2022 22:14,CUB - online payment,Food,Snacks,,102.95,Expense,,102.95,INR,
04/04/2022 15:45,CUB - online payment,Transportation,Auto,,900.2,Expense,,900.2,INR,
04/15/2022 21:03,CUB - online payment,Food,Breakfast,,263.47,Expense,,263.47,INR,
04/24/2022 15:10,CUB - online payment,Food,Water,,220.62,Expense,,220.62,INR,
04/07/2022 21:45,CUB - online payment,Transportation,Train,,444.96,Expense,,444.96,INR,
04/14/2022 15:15,CUB - online payment,Transportation,Rapido,,260.52,Expense,,260.52,INR,
04/27/2022 17:59,CUB - online payment,Food,Dinner,,77.08,Expense,,77.08,INR,
04/27/2022 20:54,CUB - online payment,Transportation,Metro,with bharath,1033.0,Expense,,1033.0,INR,
04/27/2022 15:19,CUB - online payment,Other,From dad,,500,Income,,500,INR,
04/02/2022 11:06,CUB - online payment,Food,Dinner,with stu,683.51,Expense,,683.51,INR,
04/03/2022 11:47,CUB - online payment,Social Life,Badminton,,1614.74,Expense,,1614.74,INR,
04/13/2022 10:24,CUB - online payment,Food,Milk with bharath,,460.26,Expense,,460.26,INR,
04/16/2022 10:25,CUB - online payment,Social Life,Badminton,,332.97,Expense,,332.97,INR,
04/27/2022 10:52,CUB - online payment,Food,Dinner,with gobi,116.06,Expense,,116.06,INR,
04/04/2022 14:00,CUB - online payment,Food,Pizza,,25.16,Expense,,25.16,INR,
04/01/2022 22:49,CUB - online payment,Food,Water,,239.34,Expense,,239.34,INR,
04/17/2022 12:14,CUB - online payment,Food,Breakfast,with bharath,23.57,Expense,,23.57,INR,
04/24/2022 20:21,CUB - online payment,Food,Dinner,with company,372.55,Expense,,372.55,INR,
04/03/2022 18:44,CUB - online payment,Social Life,Badminton,with company,966.3,Expense,,966.3,INR,
04/10/2022 20:34,CUB - online payment,Food,Water,,512.8,Expense,,512.8,INR,
04/12/2022 15:23,CUB - online payment,Food,Milk with bharath,,604.16,Expense,,604.16,INR,
04/04/2022 14:30,CUB - online payment,Food,Snacks,,99.37,Expense,,99.37,INR,
04/01/2022 19:34,CUB - online payment,Transportation,Bus ticket,,1096.69,Expense,,1096.69,INR,
04/19/2022 21:12,CUB - online payment,Transportation,Bus ticket,with bharath,247.71,Expense,,247.71,INR,
04/26/2022 11:51,CUB - online payment,Other,From dad,,2000,Income,,2000,INR,
04/11/2022 17:19,CUB - online payment,Social Life,Badminton,with bharath,1496.55,Expense,,1496.55,INR,
04/20/2022 13:01,CUB - online payment,Food,Parotta,with company,199.92,Expense,,199.92,INR,
04/15/2022 15:24,CUB - online payment,Food,Lunch,,575.78,Expense,,575.78,INR,
04/20/2022 20:10,CUB - online payment,Food,Milk with bharath,with stu,59.81,Expense,,59.81,INR,
04/27/2022 09:21,CUB - online payment,Social Life,Badminton,with company,651.68,Expense,,651.68,INR,
04/17/2022 17:52,CUB - online payment,Social Life,Badminton,with company,1034.42,Expense,,1034.42,INR,
04/26/2022 20:34,CUB - online payment,Food,Pizza,with gobi,202.33,Expense,,202.33,INR,
04/28/2022 15:18,CUB - online payment,Apparel,Shoes,,600.0,Expense,,600.0,INR,
04/28/2022 09:34,CUB - online payment,Food,Breakfast,with stu,200.03,Expense,,200.03,INR,
04/30/2022 22:48,CUB - online payment,Food,Snacks,,246.65,Expense,,246.65,INR,
04/14/2022 19:40,CUB - online payment,Food,Water,with company,44.37,Expense,,44.37,INR,
04/23/2022 11:58,CUB - online payment,Food,Corn,,68.8,Expense,,68.8,INR,
04/01/2022 14:44,CUB - online payment,Food,Milk with bharath,,261.24,Expense,,261.24,INR,
04/23/2022 11:03,CUB - online payment,Food,Corn,,184.79,Expense,,184.79,INR,
04/06/2022 08:54,CUB - online payment,Transportation,Taxi,,654.81,Expense,,654.81,INR,
04/30/2022 21:52,CUB - online payment,Food,Breakfast,with stu,226.14,Expense,,226.14,INR,
04/01/2022 15:47,CUB - online payment,Food,Lunch,,12.61,Expense,,12.61,INR,
04/18/2022 11:43,CUB - online payment,Food,Water,with bharath,255.99,Expense,,255.99,INR,
04/30/2022 21:17,CUB - online payment,Food,Snacks,with company,53.31,Expense,,53.31,INR,
04/10/2022 21:21,CUB - online payment,Food,Pizza,,350.75,Expense,,350.75,INR,
04/12/2022 18:32,CUB - online payment,Food,Lunch,,93.9,Expense,,93.9,INR,
04/28/2022 09:48,CUB - online payment,Food,Lunch,with gobi,66.42,Expense,,66.42,INR,
04/28/2022 09:48,CUB - online payment,Other,To gobi,,367.65,Expense,,367.65,INR,
04/29/2022 15:54,CUB - online payment,Food,Corn,,329.19,Expense,,329.19,INR,
04/07/2022 11:15,CUB - online payment,Food,Water,,69.75,Expense,,69.75,INR,
04/30/2022 13:15,CUB - online payment,Food,Dinner,,239.3,Expense,,239.3,INR,
04/27/2022 18:28,CUB - online payment,Food,Dinner,,116.45,Expense,,116.45,INR,
04/24/2022 13:14,CUB - online payment,Social Life,Movie,with stu,1580.58,Expense,,1580.58,INR,
04/27/2022 19:15,CUB - online payment,Food,Breakfast,,235.8,Expense,,235.8,INR,
04/24/2022 09:51,CUB - online payment,Social Life,Movie,,855.26,Expense,,855.26,INR,
04/27/2022 09:48,CUB - online payment,Apparel,Cap,with stu,325.36,Expense,,325.36,INR,
04/01/2022 09:25,CUB - online payment,Food,Pizza,with bharath,500.52,Expense,,500.52,INR,
04/18/2022 10:43,CUB - online payment,Other,From dad,,10000,Income,,10000,INR,
04/29/2022 17:00,CUB - online payment,Food,Lunch,with bharath,386.39,Expense,,386.39,INR,
04/30/2022 13:53,CUB - online payment,Food,Parotta,with company,149.6,Expense,,149.6,INR,
04/04/2022 21:12,CUB - online payment,Food,Lunch,with company,77.49,Expense,,77.49,INR,
04/10/2022 10:51,CUB - online payment,Food,Pizza,,334.51,Expense,,334.51,INR,
04/22/2022 10:31,CUB - online payment,Food,Corn,with gobi,19.66,Expense,,19.66,INR,
04/08/2022 10:24,CUB - online payment,Food,Dinner,with gobi,417.04,Expense,,417.04,INR,
04/10/2022 15:20,CUB - online payment,Food,Water,with gobi,394.4,Expense,,394.4,INR,
04/19/2022 10:18,CUB - online payment,Food,Pizza,with company,75.13,Expense,,75.13,INR,
04/02/2022 15:31,CUB - online payment,Food,Parotta,with gobi,225.01,Expense,,225.01,INR,
04/22/2022 10:57,CUB - online payment,Food,Breakfast,with stu,244.44,Expense,,244.44,INR,
04/23/2022 15:40,CUB - online payment,Other,From stu,with stu,23.81,Income,,23.81,INR,
04/06/2022 12:10,CUB - online payment,Food,Corn,,224.99,Expense,,224.99,INR,
04/23/2022 09:25,CUB - online payment,Food,Milk with bharath,,163.54,Expense,,163.54,INR,
04/21/2022 22:42,CUB - online payment,Food,Lunch,with stu,19.27,Expense,,19.27,INR,
04/14/2022 09:27,CUB - online payment,Food,Corn,with bharath,400.33,Expense,,400.33,INR,
04/20/2022 14:31,CUB - online payment,Food,Dinner,,175.42,Expense,,175.42,INR,
04/21/2022 15:16,CUB - online payment,Food,Lunch,,56.62,Expense,,56.62,INR,
04/09/2022 15:28,CUB - online payment,Food,Corn,with company,534.35,Expense,,534.35,INR,
04/21/2022 14:32,CUB - online payment,Food,Pizza,with company,558.57,Expense,,558.57,INR,
04/30/2022 17:53,CUB - online payment,Other,From dad,with stu,10000,Income,,10000,INR,
04/28/2022 15:20,CUB - online payment,Other,From friend,,85.01,Income,,85.01,INR,
04/15/2022 20:24,CUB - online payment,Other,To gobi,with gobi,45.5,Expense,,45.5,INR,
04/01/2022 19:13,CUB - online payment,Food,Water,with bharath,92.73,Expense,,92.73,INR,
04/30/2022 18:11,CUB - online payment,Food,Dinner,with bharath,98.44,Expense,,98.44,INR,
04/29/2022 18:34,CUB - online payment,Food,Kfc dinner,,20.5,Expense,,20.5,INR,
04/18/2022 19:56,CUB - online payment,Food,Lunch,with bharath,434.77,Expense,,434.77,INR,
04/11/2022 08:37,CUB - online payment,Food,Parotta,with stu,524.36,Expense,,524.36,INR,
04/27/2022 09:23,CUB - online payment,Food,Breakfast,,646.56,Expense,,646.56,INR,
04/11/2022 08:25,CUB - online payment,Transportation,Metro,with stu,1359.15,Expense,,1359.15,INR,
04/29/2022 15:08,CUB - online payment,Social Life,Movie,with gobi,1726.63,Expense,,1726.63,INR,
04/26/2022 09:37,CUB - online payment,Food,Lunch,with stu,33.58,Expense,,33.58,INR,
04/02/2022 10:36,CUB - online payment,Food,Kfc dinner,with gobi,208.59,Expense,,208.59,INR,
04/08/2022 18:15,CUB - online payment,Food,Milk with bharath,with gobi,556.41,Expense,,556.41,INR,
04/07/2022 18:04,CUB - online payment,Transportation,Bus ticket,,816.24,Expense,,816.24,INR,
04/01/2022 08:51,CUB - online payment,Food,Pizza,,439.09,Expense,,439.09,INR,
04/03/2022 15:17,CUB - online payment,Food,Milk with bharath,with stu,151.89,Expense,,151.89,INR,
04/07/2022 19:55,CUB - online payment,Food,Snacks,,365.4,Expense,,365.4,INR,
04/18/2022 17:43,CUB - online payment,Apparel,Hoodie,,1336.38,Expense,,1336.38,INR,
04/06/2022 09:44,CUB - online payment,Food,Parotta,,493.04,Expense,,493.04,INR,
04/20/2022 17:58,CUB - online payment,Food,Parotta,with gobi,286.54,Expense,,286.54,INR,
04/22/2022 08:28,CUB - online payment,Food,Milk with bharath,with stu,81.46,Expense,,81.46,INR,
04/11/2022 13:50,CUB - online payment,Apparel,Earphone,with bharath,409.81,Expense,,409.81,INR,
04/23/2022 12:08,CUB - online payment,Food,Milk with bharath,,29.47,Expense,,29.47,INR,
04/25/2022 09:11,CUB - online payment,Food,Kfc dinner,,61.84,Expense,,61.84,INR,
04/24/2022 22:40,CUB - online payment,Food,Lunch,with company,65.43,Expense,,65.43,INR,
04/10/2022 15:49,CUB - online payment,Food,Parotta,with bharath,70.35,Expense,,70.35,INR,
04/23/2022 13:51,CUB - online payment,Food,Parotta,with company,77.96,Expense,,77.96,INR,
04/04/2022 18:43,CUB - online payment,Food,Water,,65.71,Expense,,65.71,INR,
04/21/2022 11:08,CUB - online payment,Transportation,Train,with bharath,449.97,Expense,,449.97,INR,
04/10/2022 18:32,CUB - online payment,Food,Water,,89.09,Expense,,89.09,INR,
04/12/2022 13:03,CUB - online payment,Other,To kumara,,268.09,Expense,,268.09,INR,
04/28/2022 18:00,CUB - online payment,Food,Corn,with gobi,478.39,Expense,,478.39,INR,
04/28/2022 15:30,CUB - online payment,Food,Dinner,with company,407.93,Expense,,407.93,INR,
04/15/2022 13:53,CUB - online payment,Food,Breakfast,,228.67,Expense,,228.67,INR,
04/03/2022 15:07,CUB - online payment,Social Life,Badminton,,518.05,Expense,,518.05,INR,
04/27/2022 08:42,CUB - online payment,Food,Breakfast,,76.59,Expense,,76.59,INR,
04/06/2022 12:53,CUB - online payment,Transportation,Train,,987.59,Expense,,987.59,INR,
04/19/2022 08:04,CUB - online payment,Food,Lunch,with stu,77.21,Expense,,77.21,INR,
04/01/2022 10:00,CUB - salary,Other,Salary,Monthly salary,30000.0,Income,,30000.0,INR,
05/11/2022 11:59,CUB - online payment,Food,Lunch,,23.98,Expense,,23.98,INR,
05/08/2022 08:27,CUB - online payment,Social Life,Games,,652.26,Expense,,652.26,INR,
05/17/2022 08:35,CUB - online payment,Transportation,Bus ticket,,1351.72,Expense,,1351.72,INR,
05/06/2022 08:40,CUB - online payment,Food,Milk with bharath,with gobi,529.67,Expense,,529.67,INR,
05/20/2022 14:55,CUB - online payment,Food,Milk with bharath,,19.51,Expense,,19.51,INR,
05/06/2022 20:07,CUB - online payment,Household,Rent,with company,4527.66,Expense,,4527.66,INR,
05/14/2022 21:10,CUB - online payment,Food,Parotta,,366.9,Expense,,366.9,INR,
05/01/2022 18:25,CUB - online payment,Food,Kfc dinner,,274.69,Expense,,274.69,INR,
05/23/2022 20:48,CUB - online payment,Food,Breakfast,,41.86,Expense,,41.86,INR,
05/03/2022 10:09,CUB - online payment,Food,Corn,with company,459.87,Expense,,459.87,INR,
05/26/2022 09:49,CUB - online payment,Food,Breakfast,with stu,43.77,Expense,,43.77,INR,
05/26/2022 14:14,CUB - online payment,Other,To kumara,with company,215.75,Expense,,215.75,INR,
05/24/2022 15:40,CUB - online payment,Food,Corn,with gobi,668.19,Expense,,668.19,INR,
05/14/2022 11:18,CUB - online payment,Other,To vicky,,534.93,Expense,,534.93,INR,
05/03/2022 18:34,CUB - online payment,Transportation,Bus ticket,with stu,1529.53,Expense,,1529.53,INR,
05/21/2022 14:41,CUB - online payment,Food,Kfc dinner,,90.43,Expense,,90.43,INR,
05/03/2022 19:05,CUB - online payment,Household,Stuffs,with company,266.22,Expense,,266.22,INR,
05/18/2022 12:45,CUB - online payment,Food,Corn,with gobi,148.2,Expense,,148.2,INR,
05/16/2022 14:55,CUB - online payment,Food,Parotta,with company,648.64,Expense,,648.64,INR,
05/06/2022 20:01,CUB - online payment,Transportation,Bus ticket,,1222.97,Expense,,1222.97,INR,
05/12/2022 13:44,CUB - online payment,Transportation,Rapido,,1269.11,Expense,,1269.11,INR,
05/14/2022 10:10,CUB - online payment,Social Life,Movie,,1157.73,Expense,,1157.73,INR,
05/30/2022 19:12,CUB - online payment,Food,Lunch,with company,377.12,Expense,,377.12,INR,
05/17/2022 22:01,CUB - online payment,Transportation,Train,,1146.43,Expense,,1146.43,INR,
05/11/2022 14:15,CUB - online payment,Other,From friend,with gobi,420.85,Income,,420.85,INR,
05/26/2022 15:23,CUB - online payment,Food,Breakfast,with company,131.82,Expense,,131.82,INR,
05/18/2022 18:21,CUB - online payment,Social Life,Badminton,,756.06,Expense,,756.06,INR,
05/29/2022 18:41,CUB - online payment,Food,Corn,with company,108.97,Expense,,108.97,INR,
05/27/2022 18:36,CUB - online payment,Food,Breakfast,with gobi,42.29,Expense,,42.29,INR,
05/12/2022 09:16,CUB - online payment,Food,Corn,with bharath,546.02,Expense,,546.02,INR,
05/10/2022 15:27,CUB - online payment,Other,To kumara,with gobi,265.4,Expense,,265.4,INR,
05/07/2022 18:45,CUB - online payment,Food,Corn,with company,138.09,Expense,,138.09,INR,
05/04/2022 11:55,CUB - online payment,Food,Pizza,with company,585.06,Expense,,585.06,INR,
05/13/2022 08:56,CUB - online payment,Social Life,Badminton,with bharath,1319.93,Expense,,1319.93,INR,
05/19/2022 09:41,CUB - online payment,Food,Snacks,,134.61,Expense,,134.61,INR,
05/23/2022 08:49,CUB - online payment,Food,Corn,with gobi,167.69,Expense,,167.69,INR,
05/27/2022 11:00,CUB - online payment,Food,Snacks,with stu,372.29,Expense,,372.29,INR,
05/30/2022 21:35,CUB - online payment,Social Life,Games,,212.44,Expense,,212.44,INR,
05/30/2022 09:04,CUB - online payment,Food,Corn,,495.6,Expense,,495.6,INR,
05/13/2022 17:00,CUB - online payment,Food,Snacks,with stu,89.1,Expense,,89.1,INR,
05/10/2022 15:13,CUB - online payment,Household,Mirror,with bharath,417.18,Expense,,417.18,INR,
05/31/2022 12:53,CUB - online payment,Apparel,Earphone,,1671.76,Expense,,1671.76,INR,
05/20/2022 19:51,CUB - online payment,Other,To siva,,260.42,Expense,,260.42,INR,
05/26/2022 11:52,CUB - online payment,Food,Kfc dinner,,410.17,Expense,,410.17,INR,
05/04/2022 18:02,CUB - online payment,Other,To kumara,with gobi,187.14,Expense,,187.14,INR,
05/09/2022 13:46,CUB - online payment,Food,Corn,with company,83.0,Expense,,83.0,INR,
05/14/2022 09:40,CUB - online payment,Food,Corn,with bharath,41.11,Expense,,41.11,INR,
05/27/2022 18:02,CUB - online payment,Food,Lunch,,40.75,Expense,,40.75,INR,
05/02/2022 15:10,CUB - online payment,Transportation,Bus ticket,with stu,1591.73,Expense,,1591.73,INR,
05/30/2022 19:52,CUB - online payment,Food,Breakfast,,629.17,Expense,,629.17,INR,
05/12/2022 13:34,CUB - online payment,Other,To siva,with gobi,32.23,Expense,,32.23,INR,
